GeneID	TranscriptID	Sample.Cleavage	Sample.Brown	Sample.Cloud	Sample.Spot	Sample.Late.spot	Sample.Ring	Sample.Late.ring	Sample.Free.swimming.larvae
GeneID_109586774	GeneID_109586774_t1	0.649	0.758	0.132	1.11	0.11	0.166	0.74	1.592
GeneID_109584678	GeneID_109584678_t1	0	0.05	0	0.139	0	0	0.089	0.217
GeneID_109581640	GeneID_109581640_t1	0.744	0.331	0.02	0	0	0.426	0.07	0.065
LOC100631678	LOC100631678_df_pt	0.715	0	0.035	0.421	0.172	0.354	0.528	0
GeneID_109584940	GeneID_109584940_t1	0	0	0	0	0	0	0.171	0
GeneID_4794362	GeneID_4794362_t1	257.137	153.133	111.054	41.578	50.89	82.421	65.856	45.136
GeneID_109583182	GeneID_109583182_t1	0	0	0.069	0.157	0.075	0	0.091	0.097
GeneID_109580259	GeneID_109580259_t1	0.059	0.499	0.067	0.03	0.074	0.05	0.031	1.025
GeneID_109585404	GeneID_109585404_t1	0	0.103	0.08	0.402	0	0.173	0	0.232
GeneID_109584934	GeneID_109584934_t1	59.237	12.531	12.652	32.519	49.653	15.323	15.249	65.831
GeneID_109583305	GeneID_109583305_t1	0.059	0.499	0.067	0.03	0.074	0.05	0.031	1.025
GeneID_4794370	GeneID_4794370_t1	240.94	66.526	63.112	29.273	30.119	42.059	23.959	34.392
GeneID_109591628	GeneID_109591628_t1	0	0	0	0	0	0	0	0.043
GeneID_109584076	GeneID_109584076_t1	0.351	0.026	0.205	0.101	0.104	0.039	0	0.162
GeneID_100616083otch	GeneID_100616083M_001279299.1	31.736	5.957	5.318	2.132	4.034	4.913	6.941	7.265
GeneID_64987428	GeneID_64987428_t1	0.091	0.165	0	0	0	0	0	0
GeneID_64987424	GeneID_64987424_t1	117.99	460.278	415.445	152.203	249.736	701.696	441.218	404.832
GeneID_109582427	GeneID_109582427_t1	0.029	0.112	0.045	0.368	0	0.07	0.136	0.302
GeneID_109582293	GeneID_109582293_t1	0.79	0.031	0.007	0.063	0.254	0.087	0	0.102
GeneID_102465922	GeneID_102465922_t1	0	0	0	0	0	0	0	0
GeneID_109583159	GeneID_109583159_t1	0.68	0	0.253	0.117	0.171	0.113	0.06	0.184
GeneID_64987420	GeneID_64987420_t1	1.109	0.572	0.636	0	0.099	0	0.091	0.174
GeneID_109582443	GeneID_109582443_t1	0.083	0	0.11	0.173	0	0	0	0.029
LOC100632101	LOC100632101_df_pt	4.624	1.768	1.243	1.348	1.857	1.234	7.483	2.828
GeneID_102465922	GeneID_102465922-2	0	0	0	0	0	0	0	0
GeneID_109582797	GeneID_109582797_t1	0.365	0	0.015	0	0	0.03	0.069	0.197
GeneID_109583150	GeneID_109583150_t1	0.096	0.087	0.167	0.065	0.025	0.152	0.125	0.037
GeneID_109580722	GeneID_109580722_t1	0.117	0.114	0.21	0.085	0.101	0.173	0.279	0.547
GeneID_109580941	GeneID_109580941_t1	0.047	0.114	0.241	0.139	0	0	0.209	0
GeneID_4794342	GeneID_4794342_t1	71.703	73.649	49.834	17.035	26.535	30.085	31.716	45.453
GeneID_64987417	GeneID_64987417_t1	0.789	0.399	0.194	0	0.412	0	0.171	0.297
GeneID_109593454	GeneID_109593454_t1	0	0	0.069	0.157	0.075	0	0.091	0.097
GeneID_109593225	GeneID_109593225_t1	0.083	0	0.11	0.173	0	0	0	0.029
