GeneID	TranscriptID	Sample.00h	Sample.01h	Sample.02h	Sample.03h	Sample.04h	Sample.05h	Sample.06h	Sample.08h	Sample.10h	Sample.12h	Sample.14h	Sample.16h
FBti0018862	FBti0018862-RA	0.073	0.177	0.172	0.059	0.33	0.177	0.532	0.748	1.012	0.762	0.32	0.213
FBti0018923	FBti0018923-RA	0.468	0.12	0.59	0.843	1.043	0.875	0.535	0.536	0.816	0.368	0.309	0.624
FBti0018883	FBti0018883-RA	0	0.095	0.053	0	0	0.002	0.172	0	0.001	0.247	0.168	0.144
FBti0018914	FBti0018914-RA	0.002	0	0.002	0.071	0	0	0	0	0.147	0	0	0.217
FBti0018917	FBti0018917-RA	0	0	0.046	0	0	0	0	0	0	0	0	0
FBti0018919	FBti0018919-RA	0.081	0.053	0.065	0.059	0.014	0.152	0.046	0.053	0.076	0.139	0.04	0.074
FBti0018911	FBti0018911-RA	0.076	0.046	0.367	0.902	0.719	0.372	0.443	0.31	0.392	0.369	0.203	0.312
FBti0018925	FBti0018925-RA	0.282	0.362	0.409	0.801	0.712	0.419	0.014	0.554	0.928	1.117	2.334	2.708
FBti0018885	FBti0018885-RA	0.192	0.147	0.357	1.201	1.599	2.13	2.214	1.088	0.389	0.505	0.166	0.167
FBti0018926	FBti0018926-RA	0.185	0	0.07	0.071	0.211	0.299	0.266	0.302	0.338	0.065	0.326	0.507
FBti0018886	FBti0018886-RA	0.142	0.16	0.694	2.656	3.105	3.263	3.392	2.214	1.096	1.518	0.634	0.766
FBti0018903	FBti0018903-RA	0.018	0	0	0	0	0	0	0	0	0	0	0
FBti0018873	FBti0018873-RA	0.192	0.091	0.276	0.245	0.71	0.907	1.837	12.469	4.92	6.479	2.08	3.767
FBti0018891	FBti0018891-RA	0	0	0.014	0.101	0.071	0.123	0.138	0.152	0.06	0.039	0.07	0
FBti0018899	FBti0018899-RA	0.024	0.014	0.046	0.039	0.04	0.038	0.026	0.012	0.016	0.025	0	0.011
FBti0018931	FBti0018931-RA	0	0	0.018	0.062	0.062	0.087	0.242	0.16	0.026	0.148	0.015	0
FBti0015567	FBti0015567-RA	0.284	0.208	0.347	0.894	0.866	1.145	1.311	1.965	2.584	4.355	3.863	4.564
FBti0018876	FBti0018876-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018905	FBti0018905-RA	0	0	0.032	0	0	0	0	0.031	0.022	0	0	0.083
FBti0018894	FBti0018894-RA	0.035	0.013	0.042	0.123	0.209	0.319	0.313	0.319	0.168	0.237	0.11	0.28
FBti0018897	FBti0018897-RA	0.068	0.033	0.101	0.215	0.177	0.172	0.299	0.32	0.044	0.107	0.062	0.15
FBti0018875	FBti0018875-RA	0.03	0.044	0	0.025	0.001	0.015	0	0	0	0.03	0	0
FBti0018906	FBti0018906-RA	0.071	0.061	0.156	0.98	1.181	0.843	0.897	0.798	0.525	0.961	0.443	0.673
FBti0018889	FBti0018889-RA	0	0.025	0	0.011	0.022	0	0.013	0.013	0	0	0	0.017
FBti0018929	FBti0018929-RA	0	0.065	0.184	0.163	0.078	0.218	0.265	0.081	0.167	0.035	0.028	0.082
FBti0018884	FBti0018884-RA	0.507	0.27	0.428	0.332	0	0.095	1.355	0.399	2.555	2.917	4.974	2.28
FBti0018887	FBti0018887-RA	0	0.246	0	0	0	0	0	0.224	0	0	0	0
FBti0018913	FBti0018913-RA	0	0	0.1	0.527	0.603	0.018	0.048	0.008	0.001	0.583	0.177	0.093
FBti0018924	FBti0018924-RA	0.135	0	0.247	0.1	0.233	0	0.057	0.145	0.091	0	0.061	0.154
FBti0018927	FBti0018927-RA	0.082	0.058	0.083	0.13	0.101	0.252	0	0.207	0.915	0.495	1.137	0.524
FBti0018916	FBti0018916-RA	0	0	0.066	0.201	0.536	0	0.638	0.612	0	0.421	0.401	1.057
FBti0018921	FBti0018921-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018915	FBti0018915-RA	0	0	0	0	0	0	0	0	0	0.071	0	0
FBti0018881	FBti0018881-RA	0.166	0	0.243	0.102	0.738	0.298	0.621	2.17	1.939	0.703	1.218	1.054
FBti0018874	FBti0018874-RA	0.104	0.05	0.654	1.288	0.396	1.474	7.847	31.542	14.973	11.656	4.144	2.66
FBti0018877	FBti0018877-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018909	FBti0018909-RA	0	0	0.076	0	0	0	0	0.069	0.077	0.007	0	0.019
FBti0018868	FBti0018868-RA	0	0	0	0	0	0	0	0	0	0	0.504	4.381
FBti0018933	FBti0018933-RA	0	0.022	0	0.063	0.044	0.063	0.012	0.169	0.197	0.052	0	0.004
FBti0018907	FBti0018907-RA	0.058	0.043	0.029	0.359	1.016	0.439	0.349	0.163	0.195	0.26	0.2	0.158
FBti0018904	FBti0018904-RA	0	0	0	0	0	0	0	0	0	0	0	0
FBti0018879	FBti0018879-RA	0	0	0	0	0	0	0	0	0	0	0	0
