Geneid	t.0h	t.1h	t.2h	t.3h	t.4h	t.5h	t.6h	t.7h
ENSDARG00000000001	23.16	22.11	20.21	18.69	10.74	2.3	1.31	1.63
ENSDARG00000000002	0.21	0.14	0.22	0.21	0.1	0.04	0.02	3.74
ENSDARG00000000018	55.04	51.78	54.35	61.86	59.93	49.2	55.49	71.69
ENSDARG00000000019	35.79	30.68	33.01	35	42.07	35.11	29.78	18.47
ENSDARG00000000068	25.28	26.16	27.78	26.56	23.34	23.62	20.32	10.85
ENSDARG00000000069	11.15	7.9	10.32	11.59	11.87	11.66	10.49	6.12
ENSDARG00000000086	4	2.58	3.55	3.68	6.47	7.98	7.37	5.09
ENSDARG00000000103	3.38	1.9	2.97	2.56	5.8	8.29	8.39	7.12
ENSDARG00000000142	6.29	7.74	7.05	7.03	6.37	7.73	9.05	20.47
ENSDARG00000000151	14.7	12.75	12.83	13.17	10.09	1.77	1.16	3.45
ENSDARG00000000161	0.15	0.18	0.17	0.21	0.23	0.26	0.18	2.96
ENSDARG00000000175	0.31	0.11	0.24	0.47	0.28	0.18	0.02	1.62
ENSDARG00000000183	15.52	15.69	16.78	18.27	15.79	3.1	1.82	3.67
ENSDARG00000000189	4.73	3.36	4.23	3.46	2.99	0.66	0.4	3.15
ENSDARG00000000212	0.33	0.09	0.06	0.09	2.01	187.19	389.16	205.43
ENSDARG00000000229	1.84	1.81	1.99	2.08	2.06	3.83	5.2	6.28
ENSDARG00000000241	0.01	0.02	0.03	0.07	0.16	0.26	0.14	1.98
ENSDARG00000000324	14.47	12.02	13.97	14.61	13.44	5.69	4.82	6.12
ENSDARG00000000349	0.07	0.03	0.05	0.05	0.02	0	0.04	3.3
ENSDARG00000000369	0	0.02	0.02	0.04	0.06	0.03	0.2	1.05
ENSDARG00000000370	0.39	0.48	0.42	0.27	0.46	0.62	0.74	2.96
ENSDARG00000000380	0.18	0.16	0.18	0.15	0.33	0.58	1.04	4.38
ENSDARG00000000394	53.91	55.78	56.16	61.49	74.87	109.87	119.2	137.17
ENSDARG00000000423	18.26	17.73	16.2	17.31	12.54	3.39	2.49	3.94
ENSDARG00000000442	78.47	64.56	69.1	67.32	57.46	26.66	19.38	4.27
ENSDARG00000000460	0	0	0	0	0	0	0	0.76
ENSDARG00000000472	2.16	1.64	1.89	1.59	1.51	1.15	1.55	4.24
ENSDARG00000000474	0	0	0	0	0	0.08	0	0.87
ENSDARG00000000476	10.76	8.83	9.86	9.89	10.12	6.66	5.07	3.83
ENSDARG00000000489	9.15	6.03	9.03	8.02	10.63	8.93	10.29	13.39
ENSDARG00000000503	0.01	0	0	0	0.01	0.01	0.03	1.06
ENSDARG00000000516	0.03	0.04	0.06	0.04	0.23	0.15	0.2	2.82
ENSDARG00000000529	25.96	24.97	23.54	26.45	27.6	8.27	3.47	6.4
ENSDARG00000000540	14.68	18.69	17.74	18.84	18.2	16.32	9.9	4.55
ENSDARG00000000542	14.6	15.47	15.61	15.9	18.28	12.78	8.32	3.28
ENSDARG00000000551	0.19	0.16	0.18	0.22	0.14	0.13	0.39	0.98
ENSDARG00000000563	0.02	0.02	0.01	0.02	0.33	0.92	0.7	2.14
ENSDARG00000000567	3.24	2.43	3.01	3.16	7.54	30.47	36.87	41.12
ENSDARG00000000568	18.95	13.28	20	20.43	32.8	7.08	6.04	4.41
ENSDARG00000000588	39.92	52.36	44.42	40.14	24.39	6.53	3.86	3.86
ENSDARG00000000606	0.01	0.01	0.01	0.02	0.01	0.04	0.1	2
ENSDARG00000000631	11.75	7.45	10.28	9.84	7.65	2.65	4.25	12.72
ENSDARG00000000638	0.06	0	0	0	0	0	0	1.89
ENSDARG00000000651	0.18	0.22	0.27	0.14	0.54	2.34	1.38	1.88
ENSDARG00000000656	0.5	0.5	0.3	0.6	0.48	0.36	0.27	0.93
ENSDARG00000000666	4	2.06	1.85	2.24	2.29	1.72	1.45	2.87
ENSDARG00000000690	4.56	5.4	4.03	5.22	4.73	6.09	6.46	3.99
ENSDARG00000000729	36.61	33.95	37.66	38.71	55.41	36.69	26.91	24.49
ENSDARG00000000730	26.83	28.53	28.49	29.93	25.45	5.36	6.19	9.23
ENSDARG00000000747	17.85	17.16	15.58	14.86	9.79	2.92	3.6	5.98
ENSDARG00000000760	23.9	27.15	23.44	22.21	12.54	3.8	2.71	1.62
ENSDARG00000000767	0.02	0	0	0	0	0	0.04	3.6
ENSDARG00000000779	8.83	7.44	8.4	8.68	9.68	8.23	6.63	8.05
ENSDARG00000000796	11.92	11.45	12.64	12.82	12.85	4.25	1.81	1.81
ENSDARG00000000804	0.33	0.36	0.44	0.4	0.13	0.12	0.17	3.19
ENSDARG00000000830	6.98	3.77	4.86	5.33	5.47	3.81	5.51	6.61
