Gene stable ID	CDD ID
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0029843	cd08662
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd12906
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0026238	cd03718
FBgn0035235	cd12515
FBgn0035235	cd12515
FBgn0035235	cd12515
FBgn0035235	cd12254
FBgn0035235	cd12254
FBgn0035235	cd12254
FBgn0035235	cd12510
FBgn0035235	cd12510
FBgn0035235	cd12510
FBgn0035235	cd00590
FBgn0035235	cd00590
FBgn0035235	cd00590
FBgn0035235	cd00590
FBgn0035235	cd00590
FBgn0035235	cd00590
FBgn0035235	cd12515
FBgn0035235	cd12515
FBgn0035235	cd12515
FBgn0035235	cd12254
FBgn0035235	cd12254
FBgn0035235	cd12254
FBgn0035235	cd12510
FBgn0035235	cd12510
FBgn0035235	cd12510
FBgn0035235	cd00590
FBgn0035235	cd00590
FBgn0035235	cd00590
FBgn0035235	cd00590
FBgn0035235	cd00590
FBgn0035235	cd00590
FBgn0033669	
FBgn0033669	
FBgn0033669	
FBgn0033669	
FBgn0033669	
FBgn0033669	
FBgn0033669	
FBgn0033669	
FBgn0033669	
FBgn0033669	
FBgn0033669	
FBgn0033669	
FBgn0033669	
FBgn0033669	
FBgn0033669	
FBgn0032171	
FBgn0032171	
FBgn0032171	
FBgn0032171	
FBgn0032171	
FBgn0032171	
FBgn0038542	cd15061
FBgn0038542	cd15061
FBgn0038542	cd15061
FBgn0038542	cd15061
FBgn0038542	cd15061
FBgn0038542	cd15061
FBgn0038542	cd15061
FBgn0038542	cd15061
FBgn0038542	cd15061
FBgn0029913	
FBgn0029913	
FBgn0029913	
FBgn0029913	
FBgn0031304	cd20788
FBgn0031304	cd20788
FBgn0039925	
FBgn0267828	cd05939
FBgn0267828	cd05939
FBgn0267828	cd05939
FBgn0267828	cd05939
FBgn0267828	cd05939
FBgn0267828	cd05939
FBgn0267828	cd05939
FBgn0267828	cd05939
FBgn0267828	cd05939
FBgn0267828	cd05939
FBgn0267828	cd05939
FBgn0267828	cd05939
FBgn0004574	
FBgn0004574	
FBgn0004574	
FBgn0004574	
FBgn0004574	
FBgn0004574	
FBgn0030340	
FBgn0030340	
FBgn0030340	
FBgn0030340	
FBgn0026150	cd01085
FBgn0026150	cd01085
FBgn0026150	cd01085
FBgn0026150	cd01085
FBgn0026150	cd01085
FBgn0026150	cd01085
FBgn0035346	
FBgn0035346	
FBgn0035346	
FBgn0035346	
FBgn0035346	
FBgn0035346	
FBgn0035346	
FBgn0035346	
FBgn0035346	
FBgn0035346	
FBgn0035346	
FBgn0035346	
FBgn0039592	
FBgn0039592	
FBgn0039592	
FBgn0034785	
FBgn0034785	
FBgn0034785	
FBgn0033458	
FBgn0033458	
FBgn0033458	
FBgn0265188	
FBgn0265188	
FBgn0265188	
FBgn0029993	
FBgn0029993	
FBgn0029993	
FBgn0029993	
FBgn0005695	cd18305
FBgn0005695	cd18305
FBgn0005695	cd18305
FBgn0005695	cd18495
FBgn0005695	cd18495
FBgn0005695	cd18495
FBgn0005695	cd18305
FBgn0005695	cd18305
FBgn0005695	cd18305
FBgn0005695	cd18495
FBgn0005695	cd18495
FBgn0005695	cd18495
FBgn0261615	
FBgn0261615	
FBgn0261615	
FBgn0261615	
FBgn0038067	
FBgn0038067	
FBgn0038067	
FBgn0036278	cd15384
FBgn0036278	cd15384
FBgn0036278	cd15384
FBgn0036278	cd15384
FBgn0036278	cd15384
FBgn0036278	cd15384
FBgn0034558	cd00051
FBgn0034558	cd00051
FBgn0034558	cd00051
FBgn0033564	
FBgn0033564	
FBgn0033564	
FBgn0033564	
FBgn0033564	
FBgn0033564	
FBgn0039602	
FBgn0039602	
FBgn0039602	
FBgn0039602	
FBgn0039602	
FBgn0039602	
FBgn0002562	
FBgn0002562	
FBgn0002562	
FBgn0002562	
FBgn0264897	
FBgn0264897	
FBgn0264897	
FBgn0038565	cd02186
FBgn0038565	cd02186
FBgn0038565	cd02186
FBgn0030973	
FBgn0030973	
FBgn0030973	
FBgn0030973	
FBgn0030973	
FBgn0030973	
FBgn0030973	
FBgn0030973	
FBgn0039331	
FBgn0039331	
FBgn0039331	
FBgn0030555	
FBgn0030555	
FBgn0030555	
FBgn0030555	
FBgn0053895	cd00076
FBgn0053895	cd00076
FBgn0053895	cd00076
FBgn0037061	cd21089
FBgn0037061	cd21089
FBgn0037061	cd21089
FBgn0034776	cd00190
FBgn0034776	cd00190
FBgn0034776	cd00190
FBgn0034776	cd00190
FBgn0034776	cd00190
FBgn0034776	cd00190
FBgn0036222	
FBgn0036222	
FBgn0036222	
FBgn0019972	cd00032
FBgn0019972	cd00032
FBgn0019972	cd00032
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0036926	cd00051
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0052694	
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0029897	cd00336
FBgn0030434	
FBgn0030434	
FBgn0030434	
FBgn0030434	
FBgn0036873	
FBgn0036873	
FBgn0036873	
FBgn0052281	
FBgn0052281	
FBgn0052281	
FBgn0046873	
FBgn0046873	
FBgn0046873	
FBgn0050467	
FBgn0050467	
FBgn0050467	
FBgn0050463	cd00161
FBgn0050463	cd00161
FBgn0050463	cd00161
FBgn0050463	cd00161
FBgn0050463	cd00161
FBgn0050463	cd00161
FBgn0050463	cd02510
FBgn0050463	cd02510
FBgn0050463	cd02510
FBgn0050463	cd00161
FBgn0050463	cd00161
FBgn0050463	cd00161
FBgn0050463	cd02510
FBgn0050463	cd02510
FBgn0050463	cd02510
FBgn0050463	cd02510
FBgn0050463	cd02510
FBgn0050463	cd02510
FBgn0050463	cd00161
FBgn0050463	cd00161
FBgn0050463	cd00161
FBgn0050463	cd00161
FBgn0050463	cd00161
FBgn0050463	cd00161
FBgn0050463	cd02510
FBgn0050463	cd02510
FBgn0050463	cd02510
